instagram-instagr.am	FAIL	HTTPError	HTTP Error 503: Service Unavailable
instagram-com	FAIL	TimeoutError	The read operation timed out
instagram-blog	FAIL	HTTPError	HTTP Error 503: Service Unavailable
facebook	FAIL	HTTPError	HTTP Error 503: Service Unavailable
fb-static-logo	FAIL	HTTPError	HTTP Error 503: Service Unavailable
apple-iphone	FAIL	HTTPError	HTTP Error 503: Service Unavailable
apple-ipad	FAIL	HTTPError	HTTP Error 503: Service Unavailable
apple-ipadmini	FAIL	TimeoutError	The read operation timed out
win8	FAIL	URLError	<urlopen error [Errno 8] nodename nor servname provided, or not known>
chrome	FAIL	URLError	<urlopen error [Errno 8] nodename nor servname provided, or not known>
youtube	FAIL	URLError	<urlopen error [Errno 8] nodename nor servname provided, or not known>
spotify	FAIL	URLError	<urlopen error [Errno 8] nodename nor servname provided, or not known>
netflix	FAIL	HTTPError	HTTP Error 503: Service Unavailable
gmail	FAIL	HTTPError	HTTP Error 503: Service Unavailable
soundcloud	FAIL	HTTPError	HTTP Error 503: Service Unavailable
sopa	FAIL	HTTPError	HTTP Error 503: Service Unavailable
